id,puzzle,difficulty
49,.....3...5.362.1.9...519..237...58........9.3.984..6..46.....1......23......5....,2.6
50,.9...72..2......9..5.9....74.....87.5.13...6...2.8....64.1........6.9.......3..5.,0
51,.5...93.4..98.....3..4....6.4..9.15..........963..1...59..6..........5.8..4.2...3,2.9
52,.3.79.......6.8....27..5...3...4..9....8.94......6..58....82..118.9.....7.5...6..,3
53,....8.5...46......7.562.....2.....53.1......6.6.8.927.....5.79...1.........4...8.,2.7
54,34.9....7.......58.6.8...4.7...12.6.....3..1.5.3.8....6.....1.9.92...........3...,0
55,..6.....8.9.8.3...23.4..5....5...3..7..18.....2..7..4.....9.4....4....8.....6...2,0
56,..524............21.957..4...8....9......5.767...9.48....9......638....9...3...5.,2.5
57,685..1......25....1..9...3..67..9.......8.65.2......8.91...2.........1....6.938..,1.2
58,3.7.9..4.....4.6..6..3......521.........528.1......2...23..9...84....5.......8.6.,0
59,.....2.59..8..46..79...6.1..274..86...3.7154....8.....6..............38.....1....,2
60,..2.39.....1..5.2..6....14.9..3......3.42.....56.9..........2.8....6.53...7....1.,1.6
61,....17..........3....3648..5.678..2..12..6.5.......9.4...5...431..........7..2..6,0
62,.8..341.9........7..65..2..9...4...6.7..2.314.....8.....79...2..9..7.4..61.......,1.8
63,92.7....5...8..26...5............3...53......4...928....1.63..2..6..9.3..9..4....,0
64,.......7.8..4....66.4.7.21..9....12.......3.7..583.....81...9..4...6...........51,3.7
65,3.7...5...1.7....45.......81.6....4..8.1.5..6....6.....34.7..8......26.5...8.9...,2.4
66,.6.5...84.2...49.....3..1....8...52..9...2..35..8.....7.46.3.1...39..........1...,0
67,24...8...7.....8.9.5.4..3.....9...1...5.....43....472..6.1..2.8...3.6.....7.8.6..,2
68,....6.7..526.4......3.1...52.1.9....9..5....3.7.......8...2.4.96.....5...9....38.,1.8
69,.1..6..4..842...6.6...8.2.....5..7..3....4....75..219......985...634.......7.....,0
70,.9.1...7.....9...88...5.6...4.............961..6..54..9.....8.....62..53..14.7...,0
71,..1.7.....3........583.4.......1.86...7....3.2....6.41....43....7.....8..6..29.5.,2.1
72,...7...197....68.....18......3......59....2.3...26.....64...3.2.7..2......9..5.4.,2.7
73,2......67......84....3........698.2...2........8..4.5....15.3..6.14......7.8.21..,1.3
74,.........1.8.32.6.53..8.1......1..728..2.....95...63..........42...75.1....4....9,0
75,.......24.....51..6....159...271...8..8.......5......3.4362....5......6.....39...,2.4
76,58.4.7..143.8.1...2..........4....2....56...73.....5...6.....3.....4.7.2..3.5....,0
77,...8.91.4......8...7.4.......1..........47...4.9..6.2.92......7...1..6.85...7.9..,1.4
78,.642........1.....87.5..3..38........4.3.9..6.......9.6....4..1.......25.....87.9,0
79,.4..5....7......6..21.6.....9...42.....5...3...41.....2....7..4..3.2...195.3.....,1.7
80,.....6..9..9.1..37.5..7.4....42..........8.....1..49..47.....5.192...3.....8.....,2.8
81,.39.2...8.1...4.63..8....4.......6.479.......8.5.......71.92..........7....5.12.6,2.8
82,....8614...6.425......7.6..7.....43...9..38.5..87....26.....2..42..1.....71......,2.8
83,...87..5..2.5..8.3...9....4....8..692..3.....7.3.1....56.........9..4.2..4..3....,0
84,....9..35.73...2..2.....4.93..7.4...1...2.7...5....64...9......7....639.....82...,1
85,6...........9..3.53.18.6....4....2..1597....3...1.............1.63.....9..7.92...,1.4
86,..5..936.1..4.........6......9...1.82.......36..1..95..21.47...4..6......3......2,1.2
87,...92.41.5..13..67..........2....798...81......6......6.4.5.....7.....8.15.6.....,2
88,..1..2...7.483......6..5.73.......5.6..91..2......4.61..3.6...4.....8....853.....,2.9
89,.3...1.........5..6..47...9.6...4..847.2.3.....8.6.92.2..5...7..8..........7.9...,1.3
90,..6.39.4....6.....5..48..7.79..5...1.6..9.....2...16.......5.....3.6...9..2...4..,0
91,...13....9..5....3..6.........64..27.4..2...6..8.....1.....3.9.6.9......75.48.1..,2.1
92,5.86....4....9.8..........31..25....3....47......896..2.1..7......5......7....45.,2.1
93,...735....2.1...3...9...5...7....6.82...4....1...8.4.....3......534..8..4....1..9,2.7
94,....5.8..2......3.86..3.1....3.2..9.5..791....1.5.....9....84....4.17......9.....,0
95,.......7.8.....19....3.4...714...8......5...3...8.6....8...35.1..2...4..1..9..23.,2.1
96,65......21.3..4.........73..2.8..57...46...8....4.2......9...58..8.3.1......7....,0
97,...82.4........1.7..83...6.1....5..23.5..2.4...4.....184.....9...1.7....7...53...,0
98,.....4.6.4.7.92....2.5...7....14.8....9.7..5...6.....3.38.....5...2.9.......36...,0
99,..8.7.2.6..4....3....365....8.7..52.9......8.7....64...4.12...............78...1.,0
100,...........318.......74.259......534.1..2......4.5.7..6........28..94..6..7.....1,0
101,...2.39....6..8..1...6.....2.....4........1.89....7.....7...5..4.19....3.3.4.62..,0
102,..6...49......8..179.3..6...1......3.2.......9.86..1....3......8...472...5.....4.,0
103,..91.5...7..8...5.....3..8.4...5.6...9136.74...7........69.3.1.13.....64.........,6.1
104,...7..5...6.3.......3.9.4..4......12..12..83.8...3..4.....2...9.1.8.9...5.4....8.,3.6
105,....3..5..8...5..1.592.63..42.5......6.4.2........9..5.46.....3.....78..........4,1
106,...7..3.2.1..9..4..5..6.9.....6....53.712....86............92.3..1.7.8.......3.91,0
107,.6....47.4.5.21.......6...25....9.1...73......1.65.....2.9...6...1..4.57....7....,0
108,..5..4.8.....3.6.9.78.......81..9.........36......25.89.......3.2.....4....7...5.,0
109,....9..3...8.......241....6...7.61...69.4.....12........79.....486.3.9.......78.4,0
110,.9..........8.6......475...61....92...7...85..39..2..18..2..47.341.............1.,0
111,.............4.23.2..7.1....8.9.41.6.9..6385..4......26.8.....9...17.....1.....8.,1.1
112,.1...2...87.5....2.5..968..4......1....2.4..7.3..............36285.7.....4...5...,0
113,1...2...5..8.4....6..5...84.97..15....2769.........1..7.6..8.......7.35.........1,2.1
114,......3..16.....97........5....1.85...4.72...91..46...4....5..25...6..4..78.....6,0
115,8....3...1.54....69..71.34..5....6....4.3.81..........2.8.........1.8..9...9..5..,2.3
116,....23....2.7..196......5..1....68..4.6.....2....8..749...1........6.7..3...5..6.,0
117,....58....24.9.....3.4....1.6..1..72.1.7...48...9.56....3..62..........5....7....,3.1
118,..3...9...45....1......472...12..8.67...63.............5.729...........1.893.5...,3
119,.5...4..9...3....2.....7.6..834.9..512.5.3.....7...8....8....9........3....91.2..,3.4
120,2.......8..9..36.5...6..1.....3..9..75...4....2..1...4..7..951.6....1..2.9...5...,0
121,..2.1...36......2.....4.6.9.43........9.84..1..17....5278..19..........4.....93.2,2.6
122,..1.4.......1..86...3....9.5...67.38.....35..2.......66....24......1....3.4....82,0
123,..9..8.15..2.3.........1.2.7....98..5..31.4..2...8....4.5....8.6..9...5......3..7,1.2
124,.....62..6...3.....834.....8...6...79...15..23.57..8....732.16.2....7.4..........,0
125,....8..24.3......1...7..............2.75..3.9...9.75..3..1....7.4.269.8.9....8...,0
126,5..7....1.7..6......8..2.4.4....3.68...1...3.....2...5...2.6.7.3...874......1.8..,0
127,....9.....4...39.5..8.....6.8..37..2..564..3...49.........2..6...1...7...2...614.,1.7
128,......62.1...92....9.3...4.3.4.....8.....4..6...23........5.....23.1.56.7....8.9.,1.4
129,......8.........14.9.2..5..37.61.......54...7.457..3..7....61.82....7.3.1.3..9...,2.5
130,.7.....16.3...5...89.1..4.72.........8.3...9.1...6...4.6...1.8...7..89......9..45,0
131,.7.58...6...2.9.1.3.2.6.5.........3...3...84.....1.........4.684..3.8.7..51.7....,1
132,.4.9.1..5...4..6.......3.4....53.4.6.5...93.78........72.......1.67.8.....81..5..,1.4
133,......7..2.5...3.6...76...1....8......6..5...34..97......6..4.7.....8...9..4..1.5,1.2
134,..95.....3...41.8......87......9.3..48.36..2...6.....71..7......5......1.....28.5,3.1
135,3.5..1..84....5.......2.......6..457..894...3.......2.6.2.9.....9.5...6..7.......,1.1
136,.5...6........9..8..8...2..8...7.42...78..6.3.14.9......6.275.....941.8..........,1.9
137,3.....9.4..4.5..7..2.3.....7..5...89.9.7..6.2....6............6.83....1..51..83..,0
138,........3.2..6..9...7953....7...8..2..6.9...42..6..78..18....2..5.2.9.6..6......5,2.2
139,.69..2.....275.......6.4..5......5368....5......17.....8.24.1.......6...9.....47.,0
140,.9..........9.8.7.7.14....5.4.....2..75..4.6...8..3..93..1......5..8.2.6....3.4..,1.2
141,75..1..2....6...8.16...2.....3....46.....78.14...9...5...8.....5............5..14,2.3
142,....56...17..2.3......8...6.8..4..2..1.2...7...9..5..4.2897...........5.4........,0
143,3.79.......5..6......7...6.2..53.1....36..5......2...8..4.1.6.71....7..4.......9.,0
144,52..9........28....9..5...19.3...27...6..7........56..6....27..8..........7..3.85,0
145,...1.7....1..4.6.......69.7.......8.2..71..6439.2........4.....6....24385...3....,0
146,82.........4.29.7...6...1.29....78..2...8..9......57...6.45...11...986.....1..2..,1.9
147,...1.3..54.5.2..6.28.............8.7.....63..5....2.9.93.27.5.1............9..7..,0
148,....76......8...1..19....6...32....9..5....8...4.8.6..4........7...9213.5.......2,4.3
149,.1..5....3...6..58.....89...317.....87...2.....9.3..24..........8.....13.5...74..,1.7
150,7........4.1.3..7.8...6.91..1...856......93...69.....1.....5......74.....7.38....,0
151,3.....576629.7...31.........9.4...........7...5...6.........15.4..21..9...3..8...,2.3
152,.41.3...62.687...9.........1..3..2...6..8........2..75...19..3.......4..8...4..97,5.4
153,...8.5....8......1.92...87...1..76.....12..397.........5.3.4...3...7.4....9....6.,2.1
154,..4......61...298.......543...5.7.....7....212...6........79.5.3.81.....4........,3.7
155,.2......6.....3...678.253....3......5..7.2..8.6.....45.1.4...2...95.........8.6..,1.3
156,..4......73.5.9..89......3.8.......4..6..32...7.621...2..9..6......74...58.......,0
157,.45...1.23...64......9...5.5.812.....2...6.7...7.9.......3....917.........9....17,0
158,.......7..412...3...9.7.12..7...4...5..........3.....9...56....89...35...1.....64,0
159,54..1...6.......17.....85......83.....925......3..1....6....42..7.94..8.1.......9,0
160,....8.5.....4...8.7.4.1........4....5.17..8......3.6.7.9.1...62....7....84....9..,0
161,3....624.7....3.9.....9.......1.4.63......527....5.....8.5....4..63......1.96..3.,0
162,9.4....6.1..28..3..8..9..4.25.9....36.........4....57..........4.9.1.7....34.7...,0
163,..6..7.1.3...4..75..5.8..26.....8.6...241.......9......297.....8.3.9...27.....1..,3.2
164,.....2.8......1..9..835..71...4..6.2..1..35..4..89...7.........69.......3.4...8..,0
165,.9..8.....31.9..4..7......6...3...9....9124.....8.....8..74..........8.32......1.,0
166,5....781.7....5.......1274.98..6.....1.7...2..............8.6....53..1..8...9..7.,1.5
167,1......2.....4.71...53.....3.....2.8...1.....9..86.....43........8.17..3..762....,0
168,..1.8.......5.9....7..1..43..6.5...2...6.....93.4...8.....2.1.47.8...56..........,2.7
169,....2...6......587...5.3.4.39...4.....8...9.....6.....76..92....3.7...1..41...7.9,0
170,.7......924....1......7...2.....95...23.8.......1...476..4......9....25...73.8...,1.5
171,.6.42....2.3..1.........7...245...7.........11..7..3...86.9.2...95..6.3......5...,2.8
172,.6....4.9893........5..8....1.3....5.....2...6..48.9.3.8...3...7..5..8....9.2..7.,2.1
173,....6..29......8....7.2..1..4..9.5.....5..73....8.4....6....3..43.1.......1....8.,1
174,.5.4.3.......7....6....2.4......63..4.3.....51..8..6..78.56............9326....8.,0
175,.7.89....5...7.6....8.2...3.259.....7.....4......37..2....64....6.2....8...5.....,1.8
176,...2.....8.6..4.5...9.5...1..4.92.87.21...........3....1.........59.8.2.9...6...3,2.6
177,.42....1.8.....2.3...1.8..9.31.......5...7......69.7.....56....67....4........82.,1.4
178,.8...2..93...9..51.2....3........7....3.1....7.4.6.9...1.3.5..42..9....3....21...,1.4
179,......5..2...1..7.87..9.....8.2....3..54..6.2.....1...49758..3....3.4............,0
180,.......87.7........86..4...8..1.5....479..6...6....2....95..4...3....7..6....2..5,1
181,.....42718..3....5...76....2..1....64..2..75...3........9.1.....52......7....9.18,2.1
182,......1.45.62...7...85.....2......916...84....5...........7.......81.3..43...2..9,0
183,.83..1.4.......1....9463....9...7..2.74..9.6..5.3...9.....2...98....65....2...6.4,1.4
184,8.1..3.......1....3297..6....3.62.742....5..65..9.........4.86.........7.5..3.9..,1.4
185,.472.53.1..2....4..8..........4.2.6.3........6..931....9....6.....87.2...3.....94,1
186,6...84....34...7..5..2.1......1..9.7.5...6....4.....5..1.8....69...6.34........8.,1.8
187,..1.9......52.1.....43.7.5.....8......7..5.8....92..3..7.......962...1........8.2,0
188,..4.8.3..86.....5....6..4.......3.4..91..58...3...76..2...7.....5....938..3..1...,0
189,.84..9..1..9.2..43.7...52...6.8.7.......5......5.3....42......581.........3...78.,1.2
190,....9...2.8....4.9...5...3..1..638..7.....21......4...53.2.....6..31..4...4...6..,2.1
191,8.....1.....6...4362..8.......2...58....5..1....7.13...168..7..548.7.........49..,0
192,942.....66......4.........2....2..81.7..3......31...6...92.78..187.4.........5...,2.6
193,....9..2...2.....4.1.2.4...9......5..4...3.82.3..16......57..48..4.3.....56.....9,1.4
194,6..........8..2..3..58..9.1..1.9.2..4.2..73.........685...23.1.9.......7...7.....,2.5
195,..3...72.5..43..6....9.....4....9..5.....1.7...68..1....8.2....65......42...8....,0
196,.8.3..6.....18.......7251..8....3..5.....94.1.346.....3.6...8..198.....7.5.......,1.5
197,...9...6..5..2.......1.48.2..4.7...682.4....3.......1.7.168.2...48.3.........7...,0
198,1.......4...14..69.....8...5..........6...3.7..73.58.1....96....9..5.17.7.5..3...,1.4
199,.6.3....8..25..67..9..42..1....5.9.6.3.......4.9...........95.2.5..8......7....8.,2.6
200,.......678.....5....56.....72..3......4....1.58.9.4..2.9.27.3........195.....8...,0
201,....2..85.34..8.1..8..547.9.....6..3.1.5...2.4.7.........1......9...2...6..4..5..,2.5
202,71...8.9....4..7....8..52..47...3......7..8...81.....2..92..3......8.6..6.......7,3.5
203,.6...1.8.....84.....27....575....23...6..3......9.....315.4..6.....3.....7.5....1,1.3
204,...9..2...4.8.5.......32..649...3...6......1...5...8.7..9.....2...264...1........,0
205,.5......1..9361..58......4...1.4..5.72.8........2...6..4....27..9.7..........8...,0
206,.8.........5.3....2....7.646.8.4.9...1.72.....4.85....1..9..6.....1...3.3.....27.,1.1
207,8...5...6......5.9...9......7..1.9..49.3....2..6.8..3.7....63.......5.7.26.4.....,1.1
208,8..9..4..95..4..3.....6..2.....1......8...2..241....7.79....6.......18....3..7...,1.1
209,.8......3....94..6.....657...4.......6.14.8..2.17..9........3.1...923.......5...4,0
210,.16....2....5.1.....24...3.....65......2.35.969...........9.4..8....42...3.6..8..,0
211,.7.34...2.9..6......6..57.4..4.7.1.....2.6..7.6.1...9...8...51.5.......9....1....,1.5
212,.64...3..5.3........91.5...2...59.8......2.3....4.8....8..2.4..3.....5..1..5....7,0
213,...4...93.3......56.1.9......237.....7..86.5.......7.2.....45....963.4..4.......7,2
214,.41.6.....9..8.2..6.....5..96....7.....54..1..2.7.............9...1...6...7.....4,0
215,....5...7.9.1.42....39.....4.2..89.....7....8...3.......5...4....6..1.3.8....6..5,0
216,.2.1..8.4...4...166..8..7...6.718....7.....4.....5...8........5.83......1.7.23...,0
217,2....483....8..975..31.......5.8.............84..12....7.5...8...6...75.....7.2.9,4.2
218,....3......8....6.....92..49.46....1..3...5..61.......7..16.8..8....4..7..2..3.1.,0
219,.5........7.5864....2.3.6.96......2....4.17.579..........1....3..8.4.......67.2.4,0
220,...64.9.8.7..........8...2.....3......2.....7.51..4...7..18....9..26.81.5........,0
221,.......259...4.1.3..31......1.7.25.9..2...........3...47...12.....3..8.....48..7.,0
222,..4.....57..86......9...4..1....3..22...56.9.....9...........79.2.7...313....85..,1.3
223,.59...1......5...9.....8.3......14.5..6......73.4....8.6.91...492.3.....8.......7,0
224,.9..6.....85..........12.69....5.1.84.....25......9......6..782......6.....48....,1.5
225,.3.2....1.9..4..736.59.......2..8..78.4...215..9.....8..639.......8..........6.2.,2.7
226,..287....7......69.6.1...8..85.....6...3..5...2...7.......81....1..653..27.......,1.2
227,.3....8..8..4.63..5.4.1..7...6..9....78..26.....7..1.....653...........2....71..9,1
228,..3.754.......9.781....4............7.6..1.9..2.5.6....69...7...8....25.4....8..6,3.5
229,1..9......5...36.8.....571.6...72..55..8......97.......3..8.549....94.8.........6,1.4
230,..2.3.4.5.....8.3.34....62....6..54...92.....2...1.....1.3........75...4.96...7..,1.2
231,..1327..446..5..................9.5.9.....2...2.7...4...5..43.1.....58..67.......,0
232,.8...7.5...9.5......1863.2..58.....91.4.3..8.......2..3..............46..271....3,3.5
233,8..1...9..94.....1.5.6.24........1.2..9.4..53.15.....8....5..3.6...........7....6,0
234,...62.....2....67....4.39....31......9.....4.17.9....8....672....9.8..5........83,0
235,.6......842..18.3.......19.6.5..78.....53..2....1..9..8..4....99.....56..36..1...,2.5
236,..8.9.....467..9...7.5...2.........3.5....24.....67....1.....3.....4..5.632..8..4,0
237,32.........8.....9..569.3.2...4.69..1...7....2.35..4........5....1....74...7..8.3,4
238,.6...81..9.....7...4..5.6....31.....6.8...9.1.5.2...7....31...5.1962......2......,1.4
239,..8.4.5.9.1.2....32...75....23..6.....9....4.4...3.......6.........8..9..5.....31,3.1
240,...7...51.6.8...4...9...6.382....1....1.....24...8.....1..6.....3.1...9..865.....,0
241,..5..3...71........6.17..32.54......9...3...1..67.8.......1.9......9..5..7.2..4..,0
242,.6....8..3..6......4..82.7.......74.......6.5...3.6.....75.1.....24.........3.284,1.9
243,.......34.53.7..8......6....6..3..5.845.2........9..2.2...6..9......7..6...9..1..,1.1
244,9...6..5....49..3....8.....3.9....7...7....64.4....8..6.....5..5.3.19....7...81..,1.4
245,.....6......1...27...347.1.49..5......1.....965............138.....2.7..3.4...9..,0
246,.9....1.33.5.2.....1.35....5.9.6..8......247...68..5...6....714..1..98...4.......,1
247,..46......7.2.16....1............4.27.8..6.5..2.9......6..74.1.3....8..5.9......4,0
248,.9...7.....3.5...8...284...67.....2..2.7..6.1...5...43.....1.....9....854..8..3..,1.5
249,.3....42.5.7.....8.......76.2674.........2...8.9.3..5...8......49.8.6......3.....,0
250,......5...7....89.1..7......98..52.3......9....6.2........51.89.6.38...43...4.1..,0
251,4....296.....8.......4..2.8856...........7.9...2.1...4..5....2....6.97..6392..4..,1
252,..1....7..2.........487......5..362....7.........1.5.8.8.936...6......1.4.....2.9,0
253,...........19.8...43.......87.4..6.96......74.....7....4....53...8..2...3..6958.7,0
254,.......9.....8....9..3..1.5...5...46..4.7..3..78..3...2.3...8......2.4..6..4...5.,0
255,...53.6..3...1..2..6......8.5...2.8....95.3...9....46.6.2........136...7....4....,2.2
256,.9.....2.5.8.9..7..4.5..61....6.5..1.7.98....1....2.9.3.........51...4.8.........,0
257,.....17...35.769..41.3.5.......6..8..2....1....9....56.........6...3..9..5.8...2.,1.9
258,.........85..7.61..1.2....773...89.49...4.52....9.....2...8..5......7..1....9.8..,3.2
259,.9..6..1....248............8.....5..4...5.1.6..7.2..3.1.....2.4.3.7.......6.9....,4.1
260,1...4.3.......38.5..5.7..19...79..3.......67......6..4..1...7..832.......6.2.45..,1.6
261,....6.5.39.4.........7..8.2..645.....3...2...4..9.........2..8...18.4....73...1..,1
262,.....36.......1.85..65.....4......1.8.....2..312.68....2..4.85.5.4..2..9..1.7....,3.3
263,59..1.............1.6..9.4893486...7....74......2...1..............8..6.8...2513.,1.2
264,1..9.75......6..2.76....9.........9..46.5.2....36...1....34......5...6.1.2.....3.,1.4
265,........2.654.37....8.7....2.........97..6..5..3.18.4........84.......2......536.,0
266,...3.......3.6..58...41...75.8.9.6..........3.1...5.2.175.......4...........2...9,1
267,....8...17.........8152...3....91.24..4..65.........9...86...37....7......62.31.5,0
268,..9..5....3.6.....4..3...69..8..1..5...8.7...69..2...4.7....5.6....8..3......4..7,0
269,9...382...7...1..3..52.......3.....48.65.4....4...6.2...29...........51.....1...8,3.1
270,..7..12....638.......45....7.1.34..6.48....1.3......7.8.......7......62..9..18...,0
271,.5..9.4....3....7...82....36.9.8....7.....15.84....7...7..3..9...4.7...5....5.8..,0
272,..96..3....59.3.1...6.15.8.6..8.2............8...6.7.132.7....6......5.9..7...2..,1.3
273,..2..46.....6.....9.6....3..9....5..3..52.867...4.....68...7..1...........4..3.79,0
274,7....63.19......2..3.8..4......69.....2...1......58.9........4..61.3....25..9.6..,0
275,4...5...3........8.86............53..2.64......89.........74.1...2.1.....19..3.27,1.6
276,.9.4....28.4.5....6......3....3.6..9..2..1..65...8.1..4....3..........9.....1.5..,2
277,5....3..28.......7.2....3......2...3.3.4.9...6.4.1.2...8.7..9.....93..46....64...,3.3
278,.2...7...3..28....41.96..........4..5.97.63..1......6........2....8.563..5.12.7..,2.8
279,9...14..36.........5...9..4...3...2...47...9.1278..4.......6.5.......2...9..8.7..,0
280,9.71....6....5.....3....47.......9..24...5..8...37.1.486.2....9.....8....1..6..4.,2.3
281,...1....9...4...1..7..5.6.8.3...6...1..28..9.8...3..7...6.....5...5......2..497..,1.5
282,.7.1...3.3...8...1.8........167...9..4..5.26......8...9...27.....26........4.95..,2.7
283,...2...465.4.1.......3...1.2.5..9..4.7...........2.8.....8...7.78.5...92..1..75..,2
284,..7......6..71.5..4...8.....8...4..3...83...7..6......94......1.5.9..6....31..84.,0
285,...2..4..8...49.....3.5....2.86.1..37..4...2.6....78.9...1.89..4.....3......3....,0
286,..25.78....5...2.....2..4....8..4....2.93..5.....5.........31.86.1...5.3..97.....,0
287,7..6.3....34.1......82...9..7.....5...3.768.4........6...7..12..2..3.7.9....2....,3.2
288,........119.....2..236........38.7467.....2..3.9....5...4..256..........27..95...,1.4
289,.3...........4..7..4.2..1.95..4...6..8675...4.9.1..7....1....8........452..57..9.,1
290,.31.49......7..4..4..15..........28.....3..9..72.9..43..4.1....1.6..5......974.2.,3.5
291,..84......9...63.1.......895.....6.......824.....94....7..1...2..6..38...1....5.3,0
292,.9.3.....4.5......83...15.......4.....4...83....27..913......1.....5...91....9.78,0
293,...56.....2...34....57.........7.....194...7.3.....1.57..9....1..42..9.....1..6..,0
294,.........8..7..46.....5387..1.......435.....1298...7.31..2.......2..5........43..,2.6
295,.9.5..4...374...6..4298.......6.5.8.2..........9....31........9...2.8.5...3.1.6..,0
296,..98.5.....6.9....4.............75....35..9.1.81...6.2.9.....6.7..2....9.4..8...3,1.3
297,.....135.25......6.73..6.....48....2.8...7...312......9..6...8....4....1..8...769,1.9
298,5.........6.8...918...7..6....9....6.5..4...8..36.8.2.2....5...1..3....4.7..6....,5.2
299,51...........72.83.3.....9.7...6..1215......8..8.5..4.2...9........4..3......8.7.,0
300,......43...9781...8...2........7.....27.9.5.3.9......1.....8765...6......8...21..,0
301,.....1...539....18..1.9..247.8.24.6...4...7......1......2....3....4.........6.5.2,1.5
302,.7..9.6.44.13.....9..58........12...3..4..8.6......7..5.3....877......6...4..5...,2.5
303,.9..12.58..1......523..........364.94.......2.........3.5...9..7..8.1.....96...1.,0
304,..3.7..8..1.652..76..1.......5.938...3....6..8......9...92..5.....56.....8.......,1.1
305,8.......2...89.7...3...5....892.3.5.....5.23.........1..5..8.....3.14....9....3.7,0
306,495.3......39.....1.......4.....9.68...7..1..3...41.....6....42..95..7.6......9..,1
307,..9....2.....53......7..5.33.....9..6.598....8..3...7....2..1...51........264....,0
